Rk	team	PAKE	PASE	Wins	Loss	W%	R64	R32	S16	E8	F4	F2	Champ	Top2	F4%	Champ%
150	Southern	-0.2	-0.0	0	2	0.000	2	0	0	0	0	0	0	0	0.0%	0.0%
Rk	team	PAKE	PASE	Wins	Loss	W%	R64	R32	S16	E8	F4	F2	Champ	Top2	F4%	Champ%
151	Green Bay	-0.2	-0.2	0	1	0.000	1	0	0	0	0	0	0	0	0.2%	0.0%
152	Morgan St.	-0.2	-0.2	0	2	0.000	2	0	0	0	0	0	0	0	0.0%	0.0%
153	Southeastern Louisiana	-0.2	-0.1	0	1	0.000	1	0	0	0	0	0	0	0	0.1%	0.0%
154	Stony Brook	-0.2	-0.2	0	1	0.000	1	0	0	0	0	0	0	0	0.2%	0.0%
155	Southeast Missouri St.	-0.2	-0.2	0	1	0.000	1	0	0	0	0	0	0	0	0.1%	0.0%
156	Southern Utah	-0.2	-0.2	0	1	0.000	1	0	0	0	0	0	0	0	0.0%	0.0%
157	Jacksonville St.	-0.2	-0.2	0	2	0.000	2	0	0	0	0	0	0	0	0.0%	0.0%
158	Monmouth	-0.2	-0.1	0	3	0.000	3	0	0	0	0	0	0	0	0.0%	0.0%
159	Kennesaw St.	-0.2	-0.2	0	1	0.000	1	0	0	0	0	0	0	0	0.1%	0.0%
160	Texas A&M Corpus Chris	-0.2	-0.1	0	2	0.000	2	0	0	0	0	0	0	0	0.2%	0.0%
161	Troy	-0.3	-0.3	0	2	0.000	2	0	0	0	0	0	0	0	0.0%	0.0%
162	Robert Morris	-0.3	-0.3	0	4	0.000	4	0	0	0	0	0	0	0	0.0%	0.0%
163	Northern Arizona	-0.3	-0.1	0	1	0.000	1	0	0	0	0	0	0	0	0.1%	0.0%
164	Fresno St.	-0.3	-0.4	1	3	0.250	3	1	0	0	0	0	0	0	2.1%	0.1%
165	DePaul	-0.3	-0.5	1	2	0.333	2	1	0	0	0	0	0	0	2.0%	0.1%
166	Northeastern	-0.3	-0.4	0	2	0.000	2	0	0	0	0	0	0	0	0.0%	0.0%
167	North Carolina Central	-0.3	-0.2	0	1	0.000	1	0	0	0	0	0	0	0	0.3%	0.0%
168	Miami OH	-0.3	-0.2	0	1	0.000	1	0	0	0	0	0	0	0	0.1%	0.0%
169	Troy St.	-0.3	-0.2	0	1	0.000	1	0	0	0	0	0	0	0	0.1%	0.0%
170	LIU	-0.3	-0.1	0	2	0.000	2	0	0	0	0	0	0	0	0.1%	0.0%
171	Portland St.	-0.3	-0.3	0	2	0.000	2	0	0	0	0	0	0	0	0.0%	0.0%
172	Niagara	-0.3	-0.2	0	2	0.000	2	0	0	0	0	0	0	0	0.0%	0.0%
173	Sam Houston St.	-0.3	-0.3	0	2	0.000	2	0	0	0	0	0	0	0	0.2%	0.0%
174	Austin Peay	-0.3	-0.4	0	3	0.000	3	0	0	0	0	0	0	0	0.0%	0.0%
175	Eastern Kentucky	-0.3	-0.2	0	3	0.000	3	0	0	0	0	0	0	0	0.1%	0.0%
Rk	team	PAKE	PASE	Wins	Loss	W%	R64	R32	S16	E8	F4	F2	Champ	Top2	F4%	Champ%
176	Central Connecticut	-0.3	-0.3	0	3	0.000	3	0	0	0	0	0	0	0	0.0%	0.0%
177	Delaware	-0.3	-0.3	0	2	0.000	2	0	0	0	0	0	0	0	0.1%	0.0%
178	Cal St. Fullerton	-0.3	-0.4	0	3	0.000	3	0	0	0	0	0	0	0	0.1%	0.0%
179	Cal St. Northridge	-0.3	-0.3	0	2	0.000	2	0	0	0	0	0	0	0	0.1%	0.0%
180	UNC Asheville	-0.3	-0.2	0	5	0.000	5	0	0	0	0	0	0	0	0.1%	0.0%
181	Wright St.	-0.4	-0.3	0	3	0.000	3	0	0	0	0	0	0	0	0.2%	0.0%
182	Montana St.	-0.4	-0.3	0	2	0.000	2	0	0	0	0	0	0	0	0.2%	0.0%
183	Massachusetts	-0.4	-1.1	0	1	0.000	1	0	0	0	0	0	0	0	0.5%	0.0%
184	Southern Miss	-0.4	-0.6	0	1	0.000	1	0	0	0	0	0	0	0	0.3%	0.0%
185	UNC Greensboro	-0.4	-0.5	0	3	0.000	3	0	0	0	0	0	0	0	0.2%	0.0%
186	Memphis	-0.4	-1.5	17	13	0.567	13	8	4	3	1	1	0	4	82.8%	39.3%
187	Samford	-0.5	-0.5	0	2	0.000	2	0	0	0	0	0	0	0	0.1%	0.0%
188	UC San Diego	-0.5	-0.5	0	1	0.000	1	0	0	0	0	0	0	0	0.6%	0.0%
189	Illinois Chicago	-0.5	-0.3	0	2	0.000	2	0	0	0	0	0	0	0	0.7%	0.0%
190	American	-0.5	-0.4	0	3	0.000	3	0	0	0	0	0	0	0	0.2%	0.0%
191	Ball St.	-0.5	-0.7	0	1	0.000	1	0	0	0	0	0	0	0	0.4%	0.0%
192	Hofstra	-0.5	-0.4	0	2	0.000	2	0	0	0	0	0	0	0	0.3%	0.0%
193	Hawaii	-0.5	-0.4	1	3	0.250	3	1	0	0	0	0	0	0	1.8%	0.1%
194	Indiana	-0.6	-1.0	15	13	0.536	13	8	4	1	1	1	0	1	64.1%	17.1%
195	Northern Iowa	-0.6	-0.3	4	7	0.364	7	3	1	0	0	0	0	0	15.0%	1.8%
196	South Alabama	-0.6	-0.8	0	2	0.000	2	0	0	0	0	0	0	0	0.6%	0.0%
197	Eastern Washington	-0.6	-0.5	0	3	0.000	3	0	0	0	0	0	0	0	0.1%	0.0%
198	Chattanooga	-0.6	-0.9	0	4	0.000	4	0	0	0	0	0	0	0	0.3%	0.0%
199	Montana	-0.6	-0.7	1	9	0.100	9	1	0	0	0	0	0	0	1.0%	0.0%
200	VCU	-0.7	-1.6	8	14	0.364	14	5	1	1	1	0	0	0	23.3%	2.6%
Rk	team	PAKE	PASE	Wins	Loss	W%	R64	R32	S16	E8	F4	F2	Champ	Top2	F4%	Champ%
201	Weber St.	-0.7	-0.7	0	4	0.000	4	0	0	0	0	0	0	0	0.4%	0.0%
202	Saint Louis	-0.7	-1.2	3	5	0.375	5	3	0	0	0	0	0	0	11.3%	1.7%
203	Albany	-0.8	-0.5	0	5	0.000	5	0	0	0	0	0	0	0	0.2%	0.0%
204	Air Force	-0.8	-0.9	0	2	0.000	2	0	0	0	0	0	0	0	1.9%	0.1%
205	Western Michigan	-0.8	-0.8	0	2	0.000	2	0	0	0	0	0	0	0	1.5%	0.1%
206	Charleston	-0.8	-1.0	0	3	0.000	3	0	0	0	0	0	0	0	0.8%	0.0%
207	East Tennessee St.	-0.9	-0.6	0	5	0.000	5	0	0	0	0	0	0	0	0.7%	0.0%
208	Holy Cross	-0.9	-0.5	0	5	0.000	5	0	0	0	0	0	0	0	0.7%	0.0%
209	Boston College	-0.9	-2.4	6	7	0.462	7	5	1	0	0	0	0	0	20.3%	2.6%
210	Long Beach St.	-0.9	-1.1	0	3	0.000	3	0	0	0	0	0	0	0	1.7%	0.2%
211	Colgate	-1.0	-0.7	0	5	0.000	5	0	0	0	0	0	0	0	0.5%	0.0%
212	San Francisco	-1.0	-0.6	0	1	0.000	1	0	0	0	0	0	0	0	3.3%	0.3%
